,participant_id,age,how_masculine,how_important
134,135,65 and up,Somewhat ,Somewhat 
135,136,18 - 34,Very ,Not very 
136,137,65 and up,Somewhat ,Not very 
137,138,65 and up,Very ,Somewhat 
138,139,35 - 64,Very ,Somewhat 
139,140,18 - 34,Not at all ,Not at all 
140,141,18 - 34,Not very ,Not at all 
141,142,35 - 64,Very ,Somewhat 
142,143,18 - 34,Somewhat ,Very 
143,144,65 and up,Very ,Somewhat 
144,145,18 - 34,Not very ,Not at all 
145,146,35 - 64,No answer,Not at all 
146,147,65 and up,Somewhat ,Not very 
147,148,35 - 64,Somewhat ,Somewhat 
148,149,35 - 64,Somewhat ,Somewhat 
149,150,35 - 64,Very ,Somewhat 
150,151,35 - 64,Somewhat ,Not very 
151,152,35 - 64,Somewhat ,Somewhat 
152,153,35 - 64,Somewhat ,Not very 
153,154,35 - 64,Not at all ,Not at all 
154,155,35 - 64,Very ,Somewhat 
155,156,35 - 64,Not very ,Not at all 
156,157,65 and up,Somewhat ,Not very 
157,158,35 - 64,Somewhat ,Not very 
158,159,35 - 64,Somewhat ,Not very 
159,160,35 - 64,Somewhat ,No answer
160,161,35 - 64,Not very ,Not at all 
161,162,65 and up,Very ,Not at all 
162,163,35 - 64,Somewhat ,Somewhat 
163,164,18 - 34,Very ,Somewhat 
164,165,65 and up,Not very ,Not very 
165,166,18 - 34,Somewhat ,Somewhat 
166,167,35 - 64,Very ,Not at all 
167,168,35 - 64,Somewhat ,Not at all 
168,169,35 - 64,Somewhat ,Very 
169,170,65 and up,Very ,Not very 
170,171,18 - 34,Somewhat ,Somewhat 
171,172,35 - 64,Somewhat ,Somewhat 
172,173,65 and up,Somewhat ,Not very 
173,174,65 and up,Very ,Not very 
174,175,65 and up,Somewhat ,Not very 
175,176,65 and up,Very ,Very 
176,177,35 - 64,Somewhat ,Somewhat 
177,178,35 - 64,Not at all ,Somewhat 
178,179,18 - 34,Somewhat ,Not very 
179,180,18 - 34,Somewhat ,Not at all 
180,181,65 and up,Somewhat ,Not very 
181,182,35 - 64,Somewhat ,Not very 
182,183,35 - 64,Very ,Somewhat 
183,184,35 - 64,Very ,Not at all 
184,185,35 - 64,Very ,Somewhat 
185,186,65 and up,Somewhat ,Somewhat 
186,187,35 - 64,Somewhat ,Not very 
187,188,35 - 64,Very ,Very 
188,189,35 - 64,Not very ,Not very 
189,190,35 - 64,Not at all ,Not at all 
190,191,65 and up,Very ,Very 
191,192,65 and up,Very ,Very 
192,193,35 - 64,Somewhat ,Somewhat 
193,194,35 - 64,Not very ,Somewhat 
194,195,65 and up,Very ,Somewhat 
195,196,65 and up,Somewhat ,Somewhat 
196,197,35 - 64,Somewhat ,Somewhat 
197,198,35 - 64,Very ,Somewhat 
198,199,35 - 64,Very ,Very 
199,200,18 - 34,Not very ,Somewhat 
200,201,65 and up,Very ,Very 
201,202,65 and up,Somewhat ,Somewhat 
202,203,35 - 64,Somewhat ,Not very 
203,204,65 and up,Somewhat ,Not very 
204,205,35 - 64,Somewhat ,Not at all 
205,206,65 and up,Somewhat ,Somewhat 
206,207,35 - 64,Very ,Somewhat 
207,208,35 - 64,Very ,Not at all 
208,209,35 - 64,Somewhat ,Not very 
209,210,65 and up,Very ,Not very 
210,211,18 - 34,Somewhat ,Not very 
211,212,65 and up,Somewhat ,Not very 
212,213,18 - 34,Very ,Very 
213,214,65 and up,Somewhat ,Somewhat 
214,215,35 - 64,Not at all ,Not at all 
215,216,65 and up,Somewhat ,Not at all 
216,217,65 and up,Very ,Somewhat 
217,218,35 - 64,Somewhat ,Not very 
218,219,65 and up,Very ,Somewhat 
219,220,35 - 64,Not very ,Not at all 
220,221,35 - 64,Very ,Very 
221,222,65 and up,Very ,Somewhat 
222,223,35 - 64,Somewhat ,Somewhat 
223,224,65 and up,Somewhat ,Somewhat 
224,225,65 and up,Somewhat ,Somewhat 
225,226,18 - 34,Very ,Somewhat 
226,227,35 - 64,Somewhat ,Not very 
227,228,35 - 64,Somewhat ,Somewhat 
228,229,35 - 64,Somewhat ,Somewhat 
229,230,65 and up,Very ,Somewhat 
230,231,18 - 34,Very ,Very 
231,232,35 - 64,Somewhat ,Not very 
232,233,65 and up,Very ,Somewhat 
233,234,35 - 64,Very ,Somewhat 
234,235,35 - 64,Somewhat ,Somewhat 
235,236,65 and up,Very ,Somewhat 
236,237,35 - 64,Somewhat ,Not very 
237,238,35 - 64,Somewhat ,Not very 
238,239,35 - 64,Very ,Very 
239,240,35 - 64,Somewhat ,Somewhat 
240,241,35 - 64,Very ,Not very 
241,242,18 - 34,Very ,Somewhat 
242,243,35 - 64,Somewhat ,Not very 
243,244,18 - 34,Somewhat ,Somewhat 
244,245,18 - 34,Somewhat ,Somewhat 
245,246,65 and up,Somewhat ,Not very 
246,247,65 and up,Very ,Not very 
247,248,35 - 64,Somewhat ,Very 
248,249,65 and up,Very ,Very 
249,250,65 and up,Very ,Very 
250,251,65 and up,Somewhat ,Very 
251,252,18 - 34,Somewhat ,Somewhat 
252,253,18 - 34,Very ,Somewhat 
253,254,35 - 64,Somewhat ,Somewhat 
254,255,35 - 64,Very ,Not very 
255,256,65 and up,Very ,Not very 
256,257,65 and up,Not very ,Not very 
257,258,35 - 64,Not very ,Not at all 
258,259,35 - 64,Somewhat ,Not very 
259,260,35 - 64,Somewhat ,Not very 
260,261,65 and up,Somewhat ,Not very 
261,262,65 and up,Very ,Very 
262,263,65 and up,Somewhat ,Not very 
263,264,35 - 64,Very ,Somewhat 
264,265,35 - 64,Very ,Very 
265,266,35 - 64,Not very ,Not very 
266,267,65 and up,Not very ,Not very 
267,268,65 and up,Somewhat ,Very 
268,269,65 and up,Somewhat ,Somewhat 
269,270,65 and up,Somewhat ,Somewhat 
270,271,65 and up,Somewhat ,Very 
271,272,65 and up,Somewhat ,Not very 
272,273,35 - 64,Somewhat ,Somewhat 
273,274,35 - 64,Very ,Somewhat 
274,275,35 - 64,Not very ,Not very 
275,276,65 and up,Very ,Not very 
276,277,35 - 64,Very ,Not very 
277,278,65 and up,Somewhat ,Not very 
278,279,65 and up,Somewhat ,Somewhat 
279,280,35 - 64,Somewhat ,Somewhat 
280,281,18 - 34,Very ,Not very 
281,282,65 and up,Very ,Not at all 
282,283,35 - 64,Very ,Not very 
283,284,35 - 64,Not very ,Somewhat 
284,285,35 - 64,Somewhat ,Somewhat 
285,286,18 - 34,Somewhat ,Very 
286,287,65 and up,Very ,Somewhat 
287,288,35 - 64,Somewhat ,Not very 
288,289,35 - 64,Somewhat ,Very 
289,290,65 and up,Somewhat ,Not very 
290,291,65 and up,Somewhat ,Somewhat 
291,292,35 - 64,Not very ,Somewhat 
292,293,35 - 64,Somewhat ,Somewhat 
293,294,35 - 64,Somewhat ,Somewhat 
294,295,18 - 34,Very ,Somewhat 
295,296,35 - 64,Very ,Somewhat 
296,297,65 and up,Somewhat ,Not at all 
297,298,35 - 64,Somewhat ,Not very 
298,299,65 and up,Very ,Very 
299,300,18 - 34,Very ,Not at all 
300,301,18 - 34,Very ,Very 
301,302,35 - 64,Very ,Not very 
302,303,35 - 64,Not very ,Not very 
303,304,65 and up,Very ,Very 
304,305,65 and up,Not very ,Not very 
305,306,65 and up,Very ,Somewhat 
306,307,65 and up,Very ,Not very 
307,308,65 and up,Somewhat ,Somewhat 
308,309,35 - 64,Very ,Not at all 
309,310,35 - 64,Somewhat ,Not very 
310,311,65 and up,Very ,Not at all 
311,312,35 - 64,Somewhat ,Somewhat 
312,313,35 - 64,Very ,Very 
313,314,65 and up,Somewhat ,Somewhat 
314,315,65 and up,Somewhat ,Not very 
315,316,65 and up,Somewhat ,Somewhat 
316,317,35 - 64,Somewhat ,Not very 
317,318,65 and up,Very ,Not very 
318,319,18 - 34,Not at all ,Not at all 
319,320,35 - 64,Somewhat ,Somewhat 
320,321,35 - 64,Very ,Somewhat 
321,322,65 and up,Somewhat ,Not at all 
322,323,65 and up,Somewhat ,Not at all 
323,324,35 - 64,Somewhat ,Not very 
324,325,35 - 64,Somewhat ,Somewhat 
325,326,35 - 64,Somewhat ,Not very 
326,327,18 - 34,Somewhat ,Not very 
327,328,65 and up,Somewhat ,Somewhat 
328,329,35 - 64,Very ,Somewhat 
329,330,65 and up,Somewhat ,Not at all 
330,331,65 and up,Very ,Somewhat 
331,332,35 - 64,Somewhat ,Somewhat 
332,333,35 - 64,Somewhat ,Somewhat 
333,334,35 - 64,Somewhat ,Not very 
334,335,65 and up,Very ,Very 
335,336,35 - 64,Very ,Not at all 
336,337,65 and up,Not at all ,Not at all 
337,338,35 - 64,Somewhat ,Not very 
338,339,65 and up,Somewhat ,Somewhat 
339,340,65 and up,Somewhat ,Somewhat 
340,341,35 - 64,Not very ,Somewhat 
341,342,65 and up,Somewhat ,Not very 
342,343,65 and up,Somewhat ,Not very 
343,344,65 and up,Not very ,Not at all 
344,345,65 and up,Somewhat ,Somewhat 
345,346,65 and up,Very ,Somewhat 
346,347,35 - 64,Very ,Somewhat 
347,348,65 and up,Very ,Very 
348,349,35 - 64,Very ,Not at all 
349,350,65 and up,Very ,Very 
350,351,65 and up,Very ,Not at all 
351,352,65 and up,Somewhat ,Somewhat 
352,353,65 and up,Very ,Somewhat 
353,354,65 and up,Not at all ,Not at all 
354,355,35 - 64,Somewhat ,Somewhat 
355,356,65 and up,Very ,Somewhat 
356,357,35 - 64,Somewhat ,Somewhat 
357,358,65 and up,Somewhat ,Somewhat 
358,359,35 - 64,Very ,Somewhat 
359,360,65 and up,Somewhat ,Not very 
360,361,65 and up,Somewhat ,Somewhat 
361,362,35 - 64,Somewhat ,Somewhat 
362,363,35 - 64,Very ,Very 
363,364,35 - 64,Somewhat ,Not very 
364,365,65 and up,Somewhat ,Not very 
365,366,65 and up,Not very ,Not at all 
366,367,18 - 34,Very ,Very 
367,368,35 - 64,Very ,Very 
368,369,18 - 34,Very ,Very 
369,370,65 and up,Somewhat ,Somewhat 
370,371,35 - 64,Somewhat ,Not very 
371,372,65 and up,Somewhat ,Somewhat 
372,373,35 - 64,Somewhat ,Very 
373,374,35 - 64,Somewhat ,Somewhat 
374,375,65 and up,Somewhat ,Not at all 
375,376,65 and up,Very ,Not at all 
376,377,35 - 64,Somewhat ,Not very 
377,378,18 - 34,Somewhat ,Somewhat 
378,379,65 and up,No answer,Somewhat 
379,380,65 and up,Not very ,Somewhat 
380,381,35 - 64,Somewhat ,Not very 
381,382,35 - 64,Very ,Somewhat 
382,383,65 and up,Very ,Not very 
383,384,65 and up,Somewhat ,Somewhat 
384,385,65 and up,Somewhat ,Somewhat 
385,386,35 - 64,Very ,Very 
386,387,65 and up,Very ,Not very 
387,388,35 - 64,Somewhat ,Not at all 
388,389,18 - 34,Very ,Not very 
389,390,35 - 64,Very ,Not very 
390,391,35 - 64,Very ,Not very 
391,392,35 - 64,Not very ,Not very 
392,393,65 and up,Very ,Very 
393,394,18 - 34,Somewhat ,Somewhat 
394,395,18 - 34,Not very ,Somewhat 
395,396,35 - 64,Somewhat ,Somewhat 
396,397,35 - 64,Somewhat ,Somewhat 
397,398,65 and up,Somewhat ,Somewhat 
398,399,35 - 64,Somewhat ,Very 
399,400,35 - 64,Somewhat ,Not at all 
400,401,65 and up,Somewhat ,Not very 
401,402,65 and up,Somewhat ,Not very 
402,403,65 and up,Very ,Somewhat 
403,404,65 and up,Somewhat ,Not very 
404,405,35 - 64,Somewhat ,Somewhat 
405,406,18 - 34,Very ,Not very 
406,407,18 - 34,Somewhat ,Not very 
407,408,65 and up,Very ,Somewhat 
408,409,35 - 64,Somewhat ,Somewhat 
409,410,65 and up,Somewhat ,Not very 
410,411,65 and up,Very ,Somewhat 
411,412,65 and up,Somewhat ,Somewhat 
412,413,65 and up,Very ,Not at all 
413,414,35 - 64,Somewhat ,Very 
414,415,35 - 64,Somewhat ,Not very 
415,416,35 - 64,Very ,Not at all 
416,417,65 and up,Very ,Not at all 
417,418,35 - 64,Somewhat ,Not very 
418,419,65 and up,Very ,Not at all 
419,420,35 - 64,Very ,Very 
420,421,65 and up,Somewhat ,Not very 
421,422,65 and up,Somewhat ,Not very 
422,423,35 - 64,Somewhat ,Somewhat 
423,424,35 - 64,Somewhat ,Somewhat 
424,425,65 and up,Not very ,Not at all 
425,426,65 and up,Somewhat ,Somewhat 
426,427,65 and up,Not very ,Not very 
427,428,65 and up,Somewhat ,Very 
428,429,35 - 64,Very ,Not very 
429,430,35 - 64,Somewhat ,Somewhat 
430,431,35 - 64,Very ,Not very 
431,432,65 and up,Somewhat ,Not very 
432,433,65 and up,Very ,Very 
433,434,18 - 34,Somewhat ,Somewhat 
434,435,65 and up,Somewhat ,Somewhat 
435,436,65 and up,Somewhat ,Somewhat 
436,437,18 - 34,Very ,Not very 
437,438,35 - 64,Somewhat ,Somewhat 
438,439,65 and up,Somewhat ,Somewhat 
439,440,65 and up,Somewhat ,Not very 
440,441,35 - 64,Very ,Somewhat 
441,442,35 - 64,Very ,Somewhat 
442,443,35 - 64,Very ,Not very 
443,444,35 - 64,Somewhat ,Somewhat 
444,445,65 and up,Very ,Not very 
445,446,35 - 64,Somewhat ,Somewhat 
446,447,65 and up,Very ,Not very 
447,448,65 and up,Very ,Somewhat 
448,449,35 - 64,Somewhat ,Somewhat 
449,450,35 - 64,Somewhat ,Somewhat 
450,451,35 - 64,Somewhat ,Somewhat 
451,452,35 - 64,Somewhat ,Not very 
452,453,65 and up,Somewhat ,Not at all 
453,454,65 and up,Somewhat ,Somewhat 
454,455,35 - 64,Not very ,Not very 
455,456,65 and up,Somewhat ,Somewhat 
456,457,35 - 64,Somewhat ,Not at all 
457,458,65 and up,Very ,Very 
458,459,18 - 34,Somewhat ,Very 
459,460,35 - 64,Somewhat ,Not very 
460,461,35 - 64,Somewhat ,Somewhat 
461,462,65 and up,Somewhat ,Not at all 
462,463,35 - 64,Somewhat ,Somewhat 
463,464,35 - 64,Somewhat ,Somewhat 
464,465,35 - 64,Somewhat ,Very 
465,466,35 - 64,Somewhat ,Very 
466,467,35 - 64,Very ,Not very 
467,468,65 and up,Very ,Not very 
468,469,35 - 64,Somewhat ,Not very 
469,470,35 - 64,Very ,Not at all 
470,471,35 - 64,Very ,Very 
471,472,65 and up,Very ,Not at all 
472,473,35 - 64,Not very ,Not very 
473,474,35 - 64,Somewhat ,Somewhat 
474,475,35 - 64,Somewhat ,Somewhat 
475,476,65 and up,Very ,Not very 
476,477,65 and up,Very ,Not very 
477,478,65 and up,Somewhat ,Somewhat 
478,479,65 and up,Somewhat ,Somewhat 
479,480,65 and up,Somewhat ,Not very 
480,481,65 and up,Very ,Not very 
481,482,35 - 64,Very ,Somewhat 
482,483,35 - 64,Very ,Somewhat 
483,484,65 and up,Somewhat ,Not very 
484,485,65 and up,Somewhat ,Not very 
485,486,65 and up,Very ,Very 
486,487,35 - 64,Very ,Somewhat 
487,488,65 and up,Very ,Somewhat 
488,489,65 and up,Very ,Very 
489,490,35 - 64,Somewhat ,Very 
490,491,35 - 64,Somewhat ,Not very 
491,492,65 and up,Not very ,Not very 
492,493,65 and up,Somewhat ,Not very 
493,494,35 - 64,Very ,Somewhat 
494,495,35 - 64,Very ,Somewhat 
495,496,65 and up,Very ,Somewhat 
496,497,65 and up,Very ,Not at all 
497,498,65 and up,Somewhat ,Not very 
498,499,65 and up,Somewhat ,Somewhat 
499,500,35 - 64,Not very ,Very 
500,501,35 - 64,Somewhat ,Somewhat 
501,502,65 and up,Very ,Somewhat 
502,503,35 - 64,Somewhat ,Somewhat 
503,504,65 and up,Somewhat ,Not very 
504,505,65 and up,Very ,Very 
505,506,35 - 64,Somewhat ,Not very 
506,507,35 - 64,Very ,Very 
507,508,65 and up,Not very ,Not at all 
508,509,65 and up,Very ,Somewhat 
509,510,65 and up,Somewhat ,Not very 
510,511,65 and up,Not very ,Not very 
511,512,35 - 64,Somewhat ,Somewhat 
512,513,65 and up,Not very ,Not at all 
513,514,65 and up,Somewhat ,Not very 
514,515,35 - 64,Very ,Not at all 
515,516,35 - 64,Somewhat ,Somewhat 
516,517,65 and up,Somewhat ,Somewhat 
517,518,65 and up,Very ,Very 
518,519,65 and up,Somewhat ,Not very 
519,520,35 - 64,Very ,Not very 
520,521,65 and up,Somewhat ,Not at all 
521,522,35 - 64,Very ,Somewhat 
522,523,65 and up,Somewhat ,Somewhat 
523,524,65 and up,Very ,Somewhat 
524,525,65 and up,Very ,Very 
525,526,65 and up,Somewhat ,Not very 
526,527,65 and up,Very ,Not very 
527,528,65 and up,Somewhat ,Not at all 
528,529,65 and up,Somewhat ,Not very 
529,530,65 and up,Somewhat ,Not very 
530,531,65 and up,No answer,Not at all 
531,532,35 - 64,Very ,Very 
532,533,35 - 64,Very ,Not at all 
533,534,18 - 34,Very ,Very 
534,535,65 and up,Very ,Not very 
535,536,65 and up,Very ,Very 
536,537,65 and up,Somewhat ,Not very 
537,538,35 - 64,Somewhat ,Not very 
538,539,65 and up,Somewhat ,Somewhat 
539,540,65 and up,Very ,Somewhat 
540,541,65 and up,Somewhat ,Somewhat 
541,542,35 - 64,Somewhat ,Not very 
542,543,65 and up,Very ,Somewhat 
543,544,65 and up,Very ,Somewhat 
544,545,65 and up,Somewhat ,Not very 
545,546,65 and up,Very ,Not very 
546,547,65 and up,Not very ,Not very 
547,548,65 and up,Somewhat ,Not very 
548,549,65 and up,Very ,Not at all 
549,550,65 and up,Somewhat ,Not very 
550,551,65 and up,Very ,Not very 
551,552,35 - 64,Somewhat ,Somewhat 
552,553,65 and up,Somewhat ,Somewhat 
553,554,65 and up,Somewhat ,Not very 
554,555,65 and up,Somewhat ,Not very 
555,556,65 and up,Not very ,Not very 
556,557,65 and up,Very ,Somewhat 
557,558,35 - 64,Very ,Somewhat 
558,559,65 and up,Somewhat ,Somewhat 
559,560,35 - 64,Somewhat ,Somewhat 
560,561,65 and up,Somewhat ,Not very 
561,562,65 and up,Somewhat ,Not very 
562,563,35 - 64,Very ,Somewhat 
563,564,35 - 64,Very ,Somewhat 
564,565,35 - 64,Somewhat ,Not very 
565,566,35 - 64,Somewhat ,Not very 
566,567,35 - 64,Somewhat ,Somewhat 
567,568,65 and up,Somewhat ,Somewhat 
568,569,35 - 64,Not very ,Not very 
569,570,65 and up,Very ,Very 
570,571,65 and up,Somewhat ,Not very 
571,572,35 - 64,Very ,Not at all 
572,573,35 - 64,Very ,Very 
573,574,35 - 64,Somewhat ,Not very 
574,575,35 - 64,Very ,Not very 
575,576,65 and up,Very ,Very 
576,577,35 - 64,Very ,Not at all 
577,578,65 and up,Somewhat ,Not at all 
578,579,65 and up,Somewhat ,Somewhat 
579,580,65 and up,Very ,Somewhat 
580,581,65 and up,Somewhat ,Not very 
581,582,65 and up,Very ,Very 
582,583,65 and up,Very ,Somewhat 
583,584,35 - 64,Not very ,Not at all 
584,585,65 and up,Very ,Somewhat 
585,586,35 - 64,No answer,Not at all 
586,587,35 - 64,Somewhat ,Somewhat 
587,588,35 - 64,Somewhat ,Somewhat 
588,589,65 and up,Somewhat ,Not very 
589,590,65 and up,Somewhat ,Not very 
590,591,18 - 34,Somewhat ,Not at all 
591,592,35 - 64,Not at all ,Very 
592,593,65 and up,Very ,Somewhat 
593,594,65 and up,Very ,Not very 
594,595,65 and up,Somewhat ,Not at all 
595,596,65 and up,Somewhat ,Not at all 
596,597,65 and up,Very ,Not at all 
597,598,65 and up,Somewhat ,Somewhat 
598,599,35 - 64,Somewhat ,Somewhat 
599,600,65 and up,Very ,Not very 
600,601,65 and up,Somewhat ,Not at all 
601,602,35 - 64,Somewhat ,Not at all 
602,603,65 and up,Very ,Somewhat 
603,604,35 - 64,Somewhat ,Somewhat 
604,605,65 and up,Somewhat ,Somewhat 
605,606,65 and up,Somewhat ,Not very 
606,607,65 and up,Somewhat ,Not very 
607,608,65 and up,Somewhat ,Somewhat 
608,609,65 and up,Somewhat ,Somewhat 
609,610,35 - 64,Very ,Somewhat 
610,611,65 and up,Very ,Very 
611,612,65 and up,Somewhat ,Not very 
612,613,65 and up,Somewhat ,Somewhat 
613,614,35 - 64,Very ,Very 
614,615,18 - 34,Not at all ,Not at all 
615,616,35 - 64,Somewhat ,No answer
616,617,65 and up,Somewhat ,Somewhat 
617,618,65 and up,Very ,Somewhat 
618,619,65 and up,Somewhat ,Not at all 
619,620,65 and up,Somewhat ,Somewhat 
620,621,65 and up,Somewhat ,Not very 
621,622,65 and up,Somewhat ,Somewhat 
622,623,35 - 64,Somewhat ,Somewhat 
623,624,65 and up,Very ,Not at all 
624,625,65 and up,Very ,Not very 
625,626,65 and up,Somewhat ,Somewhat 
626,627,35 - 64,Somewhat ,Not very 
627,628,65 and up,Not very ,Not very 
628,629,65 and up,Very ,Somewhat 
629,630,65 and up,Somewhat ,Not very 
630,631,65 and up,Somewhat ,Somewhat 
631,632,65 and up,Somewhat ,Not at all 
632,633,35 - 64,Very ,Somewhat 
633,634,35 - 64,Very ,Very 
634,635,65 and up,Somewhat ,Somewhat 
635,636,65 and up,Very ,Somewhat 
636,637,65 and up,Very ,Not at all 
637,638,35 - 64,Somewhat ,Not at all 
638,639,35 - 64,Somewhat ,Not very 
639,640,65 and up,Somewhat ,Not very 
640,641,65 and up,Very ,Not very 
641,642,65 and up,Very ,Very 
642,643,65 and up,Somewhat ,Not very 
643,644,35 - 64,Very ,Somewhat 
644,645,35 - 64,Somewhat ,Somewhat 
645,646,35 - 64,Very ,Very 
646,647,65 and up,Somewhat ,Not very 
647,648,35 - 64,Very ,Somewhat 
648,649,65 and up,Somewhat ,Very 
649,650,65 and up,Very ,Somewhat 
650,651,35 - 64,Very ,Not very 
651,652,35 - 64,Somewhat ,Not very 
652,653,65 and up,Somewhat ,Not at all 
653,654,35 - 64,Very ,Somewhat 
654,655,65 and up,Very ,Somewhat 
655,656,65 and up,Not at all ,Not at all 
656,657,65 and up,Somewhat ,Somewhat 
657,658,35 - 64,Not very ,Somewhat 
658,659,35 - 64,Somewhat ,Very 
659,660,65 and up,Not at all ,Not at all 
660,661,65 and up,Very ,Very 
661,662,35 - 64,Somewhat ,Not very 
662,663,35 - 64,Very ,Somewhat 
663,664,35 - 64,Somewhat ,Somewhat 
